
# Surface 0 of 1 surfaces

# Curve title: "r*cos(v)*cos(u),r*cos(v)*sin(u),r*sin(v)"

# IsoCurve 0, 25 points
# x y z type
 0.0108268 0.8 -0.544014 i
-0.204184 0.8 -0.544014 i
-0.405204 0.7 -0.544014 i
-0.578457 0.6 -0.544014 i
-0.712071 0.4 -0.544014 i
-0.79689 0.2 -0.544014 i
-0.827101 0.0 -0.544014 i
-0.800636 -0.2 -0.544014 i
-0.719307 -0.4 -0.544014 i
-0.588687 -0.6 -0.544014 i
-0.417727 -0.7 -0.544014 i
-0.218142 -0.8 -0.544014 i
-0.00360904 -0.8 -0.544014 i
 0.211171 -0.8 -0.544014 i
 0.411481 -0.7 -0.544014 i
 0.583594 -0.6 -0.544014 i
 0.715716 -0.4 -0.544014 i
 0.798793 -0.2 -0.544014 i
 0.827133 -0.0 -0.544014 i

# IsoCurve 9, 25 points
# x y z type
 0.892492 -0.0 -0.428154 i
 0.865955 0.2 -0.428154 i
 0.780079 0.4 -0.428154 i
 0.640748 0.6 -0.428154 i
 0.45751 0.8 -0.428154 i
 0.24292 0.9 -0.428154 i
 0.0116841 0.9 -0.428154 i
-0.220352 0.9 -0.428154 i
-0.437289 0.8 -0.428154 i
-0.62426 0.6 -0.428154 i
-0.768454 0.5 -0.428154 i
-0.859989 0.2 -0.428154 i
-0.892593 0.0 -0.428154 i
-0.864032 -0.2 -0.428154 i
-0.776263 -0.4 -0.428154 i
-0.6353 -0.6 -0.428154 i
-0.450804 -0.8 -0.428154 i
-0.235415 -0.9 -0.428154 i
-0.00389481 -0.9 -0.428154 i
 0.227892 -0.9 -0.428154 i
 0.444063 -0.8 -0.428154 i
 0.629804 -0.6 -0.428154 i
 0.772388 -0.4 -0.428154 i
 0.862044 -0.2 -0.428154 i
 0.892627 -0.0 -0.428154 i

# IsoCurve 10, 25 points
# x y z type
 0.941846 -0.0 -0.304557 i
 0.913843 0.2 -0.304557 i
 0.823218 0.5 -0.304557 i
 0.676182 0.7 -0.304557 i
 0.48281 0.8 -0.304557 i
 0.256353 0.9 -0.304557 i
 0.0123303 0.9 -0.304557 i
-0.232538 0.9 -0.304557 i
-0.461471 0.8 -0.304557 i
-0.658782 0.7 -0.304557 i
-0.81095 0.5 -0.304557 i
-0.907547 0.3 -0.304557 i
-0.941954 0.0 -0.304557 i
-0.911814 -0.2 -0.304557 i
-0.819191 -0.5 -0.304557 i
-0.670433 -0.7 -0.304557 i
-0.475733 -0.8 -0.304557 i
-0.248434 -0.9 -0.304557 i
-0.00411019 -0.9 -0.304557 i
 0.240495 -0.9 -0.304557 i
 0.46862 -0.8 -0.304557 i
 0.664633 -0.7 -0.304557 i
 0.815101 -0.5 -0.304557 i
 0.909715 -0.2 -0.304557 i
 0.94199 -0.0 -0.304557 i

# IsoCurve 11, 25 points
# x y z type
 0.97418 -0.0 -0.175456 i
 0.945215 0.2 -0.175456 i
 0.851479 0.5 -0.175456 i
 0.699395 0.7 -0.175456 i
 0.499385 0.8 -0.175456 i
 0.265154 0.9 -0.175456 i
 0.0127536 1.0 -0.175456 i
-0.240521 0.9 -0.175456 i
-0.477313 0.8 -0.175456 i
-0.681398 0.7 -0.175456 i
-0.838789 0.5 -0.175456 i
-0.938703 0.3 -0.175456 i
-0.974291 0.0 -0.175456 i
-0.943116 -0.2 -0.175456 i
-0.847313 -0.5 -0.175456 i
-0.693448 -0.7 -0.175456 i
-0.492065 -0.8 -0.175456 i
-0.256962 -0.9 -0.175456 i
-0.0042513 -1.0 -0.175456 i
 0.248751 -0.9 -0.175456 i
 0.484708 -0.8 -0.175456 i
 0.687449 -0.7 -0.175456 i
 0.843083 -0.5 -0.175456 i
 0.940945 -0.3 -0.175456 i
 0.974328 -0.0 -0.175456 i

# IsoCurve 12, 25 points
# x y z type
 0.988907 -0.0 -0.0431832 i
 0.959504 0.2 -0.0431832 i
 0.864351 0.5 -0.0431832 i
 0.709968 0.7 -0.0431832 i
 0.506934 0.8 -0.0431832 i
 0.269162 1.0 -0.0431832 i
 0.0129464 1.0 -0.0431832 i
-0.244157 1.0 -0.0431832 i
-0.484529 0.9 -0.0431832 i
-0.691699 0.7 -0.0431832 i
-0.85147 0.5 -0.0431832 i
-0.952894 0.3 -0.0431832 i
-0.98902 0.0 -0.0431832 i
-0.957374 -0.2 -0.0431832 i
-0.860123 -0.5 -0.0431832 i
-0.703932 -0.7 -0.0431832 i
-0.499504 -0.9 -0.0431832 i
-0.260847 -1.0 -0.0431832 i
-0.00431556 -1.0 -0.0431832 i
 0.252512 -1.0 -0.0431832 i
 0.492035 -0.9 -0.0431832 i
 0.697842 -0.7 -0.0431832 i
 0.855829 -0.5 -0.0431832 i
 0.95517 -0.3 -0.0431832 i
 0.989058 -0.0 -0.0431832 i

# IsoCurve 13, 25 points
# x y z type
 0.985762 -0.0  0.0898697 i
 0.956453 0.2  0.0898697 i
 0.861602 0.5  0.0898697 i
 0.70771 0.7  0.0898697 i
 0.505322 0.8  0.0898697 i
 0.268307 0.9  0.0898697 i
 0.0129052 1.0  0.0898697 i
-0.24338 1.0  0.0898697 i
-0.482988 0.9  0.0898697 i
-0.689499 0.7  0.0898697 i
-0.848762 0.5  0.0898697 i
-0.949863 0.3  0.0898697 i
-0.985875 0.0  0.0898697 i
-0.954329 -0.2  0.0898697 i
-0.857388 -0.5  0.0898697 i
-0.701693 -0.7  0.0898697 i
-0.497915 -0.9  0.0898697 i
-0.260017 -1.0  0.0898697 i
-0.00430184 -1.0  0.0898697 i
 0.251709 -1.0  0.0898697 i
 0.49047 -0.9  0.0898697 i
 0.695623 -0.7  0.0898697 i
 0.853107 -0.5  0.0898697 i
 0.952133 -0.3  0.0898697 i
 0.985912 -0.0  0.0898697 i

# IsoCurve 14, 25 points
# x y z type
 0.964802 -0.0  0.221298 i
 0.936116 0.2  0.221298 i
 0.843282 0.5  0.221298 i
 0.692662 0.7  0.221298 i
 0.494578 0.8  0.221298 i
 0.262602 0.9  0.221298 i
 0.0126308 1.0  0.221298 i
-0.238206 0.9  0.221298 i
-0.472719 0.8  0.221298 i
-0.674839 0.7  0.221298 i
-0.830715 0.5  0.221298 i
-0.929667 0.3  0.221298 i
-0.964913 0.0  0.221298 i
-0.934037 -0.2  0.221298 i
-0.839157 -0.5  0.221298 i
-0.686773 -0.7  0.221298 i
-0.487328 -0.8  0.221298 i
-0.254489 -0.9  0.221298 i
-0.00421037 -1.0  0.221298 i
 0.246356 -0.9  0.221298 i
 0.480042 -0.8  0.221298 i
 0.680832 -0.7  0.221298 i
 0.834968 -0.5  0.221298 i
 0.931888 -0.3  0.221298 i
 0.964949 -0.0  0.221298 i

# IsoCurve 15, 25 points
# x y z type
 0.926406 -0.0  0.348728 i
 0.898861 0.2  0.348728 i
 0.809722 0.5  0.348728 i
 0.665096 0.6  0.348728 i
 0.474895 0.8  0.348728 i
 0.252151 0.9  0.348728 i
 0.0121281 0.9  0.348728 i
-0.228726 0.9  0.348728 i
-0.453906 0.8  0.348728 i
-0.647982 0.7  0.348728 i
-0.797655 0.5  0.348728 i
-0.892668 0.2  0.348728 i
-0.926512 0.0  0.348728 i
-0.896865 -0.2  0.348728 i
-0.805761 -0.5  0.348728 i
-0.659442 -0.7  0.348728 i
-0.467934 -0.8  0.348728 i
-0.244361 -0.9  0.348728 i
-0.00404281 -0.9  0.348728 i
 0.236552 -0.9  0.348728 i
 0.460937 -0.8  0.348728 i
 0.653737 -0.7  0.348728 i
 0.801738 -0.5  0.348728 i
 0.894801 -0.2  0.348728 i
 0.926547 -0.0  0.348728 i

# IsoCurve 16, 25 points
# x y z type
 0.871267 -0.0  0.469854 i
 0.845362 0.2  0.469854 i
 0.761528 0.4  0.469854 i
 0.62551 0.6  0.469854 i
 0.446629 0.7  0.469854 i
 0.237143 0.8  0.469854 i
 0.0114063 0.9  0.469854 i
-0.215112 0.8  0.469854 i
-0.42689 0.8  0.469854 i
-0.609414 0.6  0.469854 i
-0.750179 0.4  0.469854 i
-0.839537 0.2  0.469854 i
-0.871366 0.0  0.469854 i
-0.843484 -0.2  0.469854 i
-0.757803 -0.4  0.469854 i
-0.620192 -0.6  0.469854 i
-0.440083 -0.8  0.469854 i
-0.229817 -0.8  0.469854 i
-0.00380218 -0.9  0.469854 i
 0.222473 -0.8  0.469854 i
 0.433503 -0.8  0.469854 i
 0.614827 -0.6  0.469854 i
 0.75402 -0.4  0.469854 i
 0.841543 -0.2  0.469854 i
 0.871399 -0.0  0.469854 i

# IsoCurve 17, 25 points
# x y z type
 0.800382 -0.0  0.58249 i
 0.776584 0.2  0.58249 i
 0.699571 0.4  0.58249 i
 0.574619 0.6  0.58249 i
 0.410292 0.7  0.58249 i
 0.217849 0.8  0.58249 i
 0.0104783 0.8  0.58249 i
-0.197611 0.8  0.58249 i
-0.392158 0.7  0.58249 i
-0.559833 0.6  0.58249 i
-0.689145 0.4  0.58249 i
-0.771234 0.2  0.58249 i
-0.800473 0.0  0.58249 i
-0.77486 -0.2  0.58249 i
-0.696149 -0.4  0.58249 i
-0.569734 -0.6  0.58249 i
-0.404278 -0.7  0.58249 i
-0.211119 -0.8  0.58249 i
-0.00349284 -0.8  0.58249 i
 0.204373 -0.8  0.58249 i
 0.398233 -0.7  0.58249 i
 0.564805 -0.6  0.58249 i
 0.692673 -0.4  0.58249 i
 0.773076 -0.2  0.58249 i
 0.800503 -0.0  0.58249 i

