
# Surface 0 of 1 surfaces

# Curve title: "v(x,y)"

# Contour 0, label:    -0.36
 1.70111  0.55 -0.55 
 1.68656  0.6 -0.55 
 1.67285  0.65 -0.55 
 1.66667  0.672883 -0.55 
 1.66047  0.7 -0.55 
 1.64956  0.75 -0.55 
 1.64033  0.8 -0.55 
 1.63306  0.85 -0.55 
 1.62786  0.9 -0.55 
 1.62626  0.925146 -0.55 
 1.62467  0.95 -0.55 
 1.62357  1 -0.55 
 1.62467  1.05 -0.55 
 1.62626  1.07485 -0.55 
 1.62786  1.1 -0.55 
 1.63306  1.15 -0.55 
 1.64033  1.2 -0.55 
 1.64956  1.25 -0.55 
 1.66047  1.3 -0.55 
 1.66667  1.32712 -0.55 
 1.67285  1.35 -0.55 
 1.68656  1.4 -0.55 
 1.70111  1.45 -0.55 
 1.70707  1.47178 -0.55 
 1.71649  1.5 -0.55 
 1.73223  1.55 -0.55 
 1.74747  1.59954 -0.55 
 1.74765  1.6 -0.55 
 1.76329  1.65 -0.55 
 1.77786  1.7 -0.55 
 1.78788  1.73883 -0.55 
 1.79134  1.75 -0.55 
 1.80379  1.8 -0.55 
 1.81434  1.85 -0.55 
 1.82287  1.9 -0.55 
 1.82828  1.94325 -0.55 
 1.82927  1.95 -0.55 
 1.8335  2 -0.55 
 1.83512  2.05 -0.55 
 1.834  2.1 -0.55 
 1.83001  2.15 -0.55 
 1.82828  2.16314 -0.55 
 1.82316  2.2 -0.55 
 1.81325  2.25 -0.55 
 1.80002  2.3 -0.55 
 1.78788  2.33716 -0.55 
 1.78339  2.35 -0.55 
 1.76331  2.4 -0.55 
 1.74747  2.43395 -0.55 
 1.73941  2.45 -0.55 
 1.71155  2.5 -0.55 

-0.742381 -0.5 -0.55 
-0.757576 -0.4847 -0.55 
-0.790878 -0.45 -0.55 
-0.79798 -0.442367 -0.55 
-0.836218 -0.4 -0.55 
-0.838384 -0.397515 -0.55 
-0.878705 -0.35 -0.55 
-0.878788 -0.349898 -0.55 
-0.918585 -0.3 -0.55 
-0.919192 -0.299206 -0.55 
-0.956058 -0.25 -0.55 
-0.959596 -0.245049 -0.55 
-0.991278 -0.2 -0.55 
-1 -0.186944 -0.55 


# Contour 6, label:    -0.63
